Name,X,Y,Z
43438,338197.881,4475954.516,2212.034
43439,338212.62,4475948.865,2211.219
43440,338228.971,4475942.844,2210.876
43441,338242.441,4475937.493,2210.651
43442,338254.897,4475931.962,2210.258
43443,338267.853,4475927.062,2210.17
43444,338282.758,4475921.723,2209.709
43445,338297.67,4475918.06,2209.59
43446,338310.527,4475914.747,2209.224
43447,338327.822,4475911.112,2208.955
43448,338342.611,4475907.947,2208.081
43449,338356.714,4475906.699,2207.965
43450,338370.315,4475904.702,2207.435
43451,338385.253,4475902.911,2207.009
43452,338401.163,4475901.344,2206.147
43453,338416.319,4475899.512,2204.378
43454,338429.106,4475897.674,2203.131
43455,338445.698,4475892.017,2203.446
43456,338461.248,4475887.433,2202.973
43457,338472.239,4475882.567,2203.233
43458,338488.098,4475877.045,2203.911
43459,338502.966,4475871.958,2203.393
43460,338516.654,4475869.429,2202.916
43461,338531.399,4475867.846,2202.283
43462,338547.625,4475867.337,2201.656
43463,338561.872,4475867.878,2201.05
43464,338575.547,4475867.817,2200.746
43465,338590.226,4475868.309,2200.141
43466,338602.665,4475868.756,2199.807
43467,338618.008,4475870.662,2199.618
43468,338630.462,4475874.27,2199.244
43469,338644.655,4475880.64,2198.608
43470,338655.907,4475886.164,2198.251
43471,338670.556,4475894.934,2197.711
43472,338680.979,4475900.809,2197.394
43473,338694.779,4475908.488,2196.964
43474,338709.632,4475917.015,2196.196
43475,338722.088,4475924.002,2195.322
43476,338735.163,4475930.138,2194.684
43477,338752.424,4475936.536,2193.176
43478,338767.533,4475941.621,2192.474
43479,338780.259,4475945.856,2191.969
43480,338795.586,4475951.243,2191.717
43481,338808.622,4475955.533,2191.483
43482,338823.689,4475961.966,2191.896
43483,338838.171,4475968.554,2192.889
43484,338852.981,4475975.436,2193.193
43485,338864.091,4475980.697,2192.69
43486,338877.952,4475986.381,2192.268
43487,338890.248,4475993.0,2193.3
43488,338901.941,4475998.193,2193.58
43489,338914.303,4476006.606,2192.761
43490,338923.135,4476014.842,2190.938
43491,338937.125,4476022.059,2187.555
43492,338947.946,4476034.182,2186.789
43493,338957.833,4476044.798,2186.622
43494,338967.482,4476056.145,2186.475
43495,338975.185,4476065.175,2186.305
43496,338988.086,4476077.03,2186.124
43497,339002.232,4476086.137,2185.462
43498,339016.449,4476093.352,2184.562
43499,339033.383,4476098.863,2183.517
43500,339044.112,4476099.848,2183.0
43501,339063.128,4476100.051,2182.049
43502,339074.284,4476100.191,2181.767
43503,339095.0,4476100.7,2181.5405
43504,339106.328,4476099.149,2181.314
43505,339119.697,4476097.694,2180.669
43506,339141.5,4476097.437,2180.708
43507,339150.254,4476097.944,2180.844
43508,339167.814,4476096.729,2180.804
43509,339181.374,4476096.064,2180.82
43510,339195.692,4476095.976,2180.908
43511,339210.575,4476096.353,2181.293
43512,339228.242,4476095.888,2181.666
43513,339241.875,4476096.647,2181.59
43514,339257.483,4476095.502,2181.669
43515,339272.973,4476095.742,2181.615
43516,339286.283,4476096.283,2181.552
43517,339299.781,4476095.77,2181.861
43518,339315.166,4476093.67,2182.1
43519,339331.025,4476092.082,2182.044
43520,339344.278,4476088.575,2181.757
43521,339355.802,4476082.941,2181.097
43522,339362.387,4476073.467,2181.137
45101,339374.296,4476058.937,2181.173
45102,339383.847,4476067.885,2181.033
45103,339394.6,4476076.219,2181.385
45104,339408.539,4476087.835,2181.629
45105,339414.171,4476099.184,2181.774
45106,339419.198,4476112.236,2181.686
45107,339423.691,4476126.042,2181.786
45108,339427.593,4476140.832,2181.307
45109,339431.122,4476155.231,2181.366
45110,339435.871,4476170.865,2181.959
45111,339440.052,4476184.729,2182.41
45112,339443.718,4476198.076,2182.264
45113,339448.074,4476212.143,2181.778
45114,339451.521,4476226.017,2180.995
45115,339456.05,4476241.262,2180.307
45116,339460.2,4476255.851,2179.97
45117,339458.215,4476273.9,2179.567
45118,339452.957,4476289.787,2179.591
45119,339439.938,4476306.626,2179.49
45120,339433.698,4476312.475,2179.226
45121,339423.257,4476323.389,2178.6
45122,339412.945,4476335.671,2178.295
45123,339402.44,4476345.985,2178.044
45124,339395.039,4476359.992,2177.744
45125,339385.262,4476368.124,2177.728
45126,339376.575,4476381.551,2177.144
45127,339365.965,4476393.746,2176.934
45128,339358.334,4476405.055,2177.735
45129,339349.539,4476416.904,2177.473
45130,339340.373,4476429.048,2176.946
45131,339330.452,4476441.65,2176.371
45132,339320.741,4476453.833,2175.883
45133,339311.82,4476463.377,2175.729
45134,339303.761,4476475.322,2174.814
45135,339293.953,4476486.598,2174.451
45136,339284.799,4476499.893,2174.747
45137,339276.434,4476511.628,2175.468
45138,339267.915,4476524.965,2175.828
45139,339259.352,4476536.742,2175.385
45140,339252.242,4476550.91,2174.009
45141,339242.852,4476564.065,2174.027
45142,339235.458,4476575.783,2173.928
45143,339228.857,4476590.504,2173.722
45144,339224.812,4476606.802,2173.383
45145,339224.627,4476621.063,2173.594
45146,339224.366,4476634.89,2173.339
45147,339224.027,4476648.659,2173.402
45148,339224.116,4476662.71,2173.488
45149,339224.582,4476677.693,2173.501
45150,339224.72,4476693.007,2173.468
45151,339224.519,4476708.672,2173.105
45152,339224.434,4476723.149,2172.474
45153,339224.659,4476737.956,2172.171
45154,339224.409,4476753.709,2172.186
45155,339223.954,4476767.646,2171.995
45156,339223.182,4476783.249,2172.198
45157,339223.55,4476798.645,2172.324
45158,339222.38,4476812.387,2172.068
45159,339221.815,4476828.715,2171.548
45160,339220.729,4476842.167,2171.139
45161,339219.446,4476857.286,2170.83
45162,339217.553,4476871.894,2170.469
45163,339213.711,4476887.27,2169.453
45164,339210.09,4476897.843,2168.683
45165,339204.656,4476913.679,2167.845
45166,339197.59,4476925.995,2167.214
45167,339189.038,4476941.525,2166.681
45168,339180.966,4476952.243,2166.193
45169,339172.582,4476964.272,2165.693
45170,339161.701,4476977.607,2165.314
45171,339144.037,4476989.385,2164.567
45172,339134.782,4476994.36,2164.028
45173,339122.687,4476999.887,2163.599
45174,339107.765,4477007.083,2163.425
45175,339094.56,4477011.442,2163.092
45176,339078.967,4477013.836,2162.242
45177,339062.85,4477016.212,2161.572
45178,339048.53,4477018.9,2160.974
45179,339032.915,4477021.255,2160.04
45180,339020.325,4477022.603,2159.076
45181,339005.724,4477027.65,2158.243
45182,338991.46,4477034.07,2157.558
45183,338980.007,4477040.129,2157.16
45184,338962.168,4477044.06,2157.079
45185,338956.746,4477063.39,2156.609
45186,338950.999,4477075.804,2156.545
45187,338944.606,4477086.933,2156.286
45188,338935.118,4477100.415,2155.897
45189,338925.266,4477113.079,2155.312
45190,338916.017,4477125.011,2154.891
45191,338908.218,4477135.207,2167.256
45192,338897.221,4477151.203,2154.796
45193,338887.112,4477163.513,2167.055
45194,338879.548,4477172.719,2154.121
45195,338867.427,4477184.81,2165.754
45196,338857.996,4477195.14,2152.608
45197,338841.539,4477208.244,2164.77
45198,338832.682,4477218.032,2152.318
45199,338823.368,4477227.255,2164.148
45200,338818.122,4477239.083,2151.562
45201,338813.263,4477250.85,2163.578
45202,338809.261,4477264.566,2150.787
45203,338805.598,4477278.799,2162.647
45204,338802.273,4477291.326,2149.585
45205,338797.958,4477308.667,2161.108
45206,338793.387,4477333.075,2147.531
45207,338791.687,4477346.34,2159.737
45208,338789.942,4477359.219,2146.302
45209,338786.839,4477371.476,2158.12
45210,338780.905,4477385.409,2145.066
45211,338773.48,4477395.878,2157.131
45212,338763.308,4477409.424,2144.187
45213,338759.406,4477420.461,2156.304
45214,338756.436,4477439.066,2143.307
45215,338755.598,4477450.816,2155.724
45216,338756.515,4477465.594,2143.441
45217,338758.942,4477480.41,2156.245
45218,338757.597,4477494.995,2143.59
45219,338747.222,4477511.066,2155.817
45220,338737.101,4477512.841,2142.982
45221,338724.793,4477520.928,2155.427
45222,338712.923,4477537.626,2141.999
45223,338708.117,4477547.27,2154.089
45224,338705.284,4477556.342,2141.168
45225,338704.375,4477571.908,2152.518
45226,338706.26,4477588.937,2139.215
45227,338707.213,4477604.461,2153.047
45228,338707.37,4477619.942,2151.412
45229,338705.982,4477634.54,2150.983
45230,338703.791,4477647.864,2150.666
45231,338697.438,4477659.034,2150.693
45232,338681.406,4477666.587,2150.447
45233,338672.194,4477681.639,2149.379
45234,338658.709,4477688.711,2148.546
45235,338636.377,4477689.877,2147.803
45236,338620.296,4477695.415,2147.474
45237,338607.625,4477703.245,2147.399
45238,338598.055,4477714.923,2147.116
45239,338592.061,4477729.596,2146.527
45240,338587.017,4477744.621,2146.087
45241,338583.086,4477755.73,2145.397
45242,338578.131,4477777.112,2145.229
45243,338565.307,4477785.784,2132.726
45244,338550.114,4477789.348,2132.721
45245,338538.807,4477795.68,2132.106
45246,338530.218,4477801.745,2131.33
45247,338517.273,4477816.078,2130.107
45248,338512.572,4477829.252,2129.442
45249,338510.524,4477842.695,2128.677
45250,338509.11,4477857.791,2127.795
45251,338507.109,4477872.447,2127.148
45252,338505.356,4477881.57,2126.828
45253,338500.795,4477896.489,2126.587
45254,338492.946,4477911.265,2125.583
45255,338486.984,4477923.649,2125.466
45256,338478.11,4477937.264,2124.855
45257,338467.036,4477948.401,2124.243
45258,338454.66,4477957.267,2123.975
45259,338441.235,4477965.515,2123.312
45260,338427.616,4477973.459,2123.213
45261,338419.868,4477979.703,2122.767
45262,338413.331,4477992.507,2121.972
45263,338408.273,4478007.815,2121.62
45264,338405.16,4478023.218,2121.58
45265,338405.132,4478040.304,2121.603
45266,338407.31,4478054.707,2121.778
45267,338408.277,4478072.404,2121.89
45268,338401.661,4478085.066,2121.044
45269,338392.962,4478097.641,2120.655
45270,338385.49,4478110.573,2120.404
45271,338378.809,4478124.124,2119.869
45272,338372.702,4478137.944,2118.897
45273,338367.818,4478149.822,2118.241
45274,338361.749,4478163.681,2117.9
45275,338354.652,4478177.264,2117.77
45276,338346.006,4478189.875,2117.719
45277,338336.315,4478203.472,2117.54
45278,338329.345,4478214.655,2117.267
45279,338320.087,4478226.179,2116.681
45280,338305.625,4478235.794,2115.857
45281,338298.796,4478249.653,2115.179
45282,338294.602,4478264.584,2114.721
45283,338299.827,4478282.039,2114.194
45284,338300.476,4478296.82,2113.204
45285,338297.342,4478312.118,2112.046
45286,338291.583,4478324.342,2110.858
45287,338284.363,4478336.428,2109.972
45288,338277.283,4478348.318,2109.409
45289,338269.633,4478361.105,2108.739
45290,338262.069,4478372.926,2108.287
45291,338257.198,4478386.806,2107.81
45292,338254.172,4478400.581,2107.599
45293,338254.08,4478415.113,2107.278
45294,338253.865,4478430.59,2107.02
45295,338253.222,4478446.221,2106.511
45296,338249.66,4478461.388,2106.138
45297,338244.882,4478475.913,2105.388
45298,338240.618,4478491.246,2104.837
45299,338237.762,4478509.541,2104.212
45300,338237.444,4478523.328,2103.525
