Label,Northing,Easting,Elevation,Source
43484,4475975.436,338852.981,2193.193,r420_05-20
43483,4475968.554,338838.171,2192.889,r420_05-20
43482,4475961.966,338823.689,2191.896,r420_05-20
43481,4475955.533,338808.622,2191.483,r420_05-20
43480,4475951.243,338795.586,2191.717,r420_05-20
43479,4475945.856,338780.259,2191.969,r420_05-20
43478,4475941.621,338767.533,2192.474,r420_05-20
43477,4475936.536,338752.424,2193.176,r420_05-20
43476,4475930.138,338735.163,2194.684,r420_05-20
43475,4475924.002,338722.088,2195.322,r420_05-20
43474,4475917.015,338709.632,2196.196,r420_05-20
43473,4475908.488,338694.779,2196.964,r420_05-20
43472,4475900.809,338680.979,2197.394,r420_05-20
43471,4475894.934,338670.556,2197.711,r420_05-20
43470,4475886.164,338655.907,2198.251,r420_05-20
43469,4475880.64,338644.655,2198.608,r420_05-20
43468,4475874.27,338630.462,2199.244,r420_05-20
43467,4475870.662,338618.008,2199.618,r420_05-20
43466,4475868.756,338602.665,2199.807,r420_05-20
43465,4475868.309,338590.226,2200.141,r420_05-20
43464,4475867.817,338575.547,2200.746,r420_05-20
43463,4475867.878,338561.872,2201.05,r420_05-20
43462,4475867.337,338547.625,2201.656,r420_05-20
43461,4475867.846,338531.399,2202.283,r420_05-20
43460,4475869.429,338516.654,2202.916,r420_05-20
43459,4475871.958,338502.966,2203.393,r420_05-20
43458,4475877.045,338488.098,2203.911,r420_05-20
43457,4475882.567,338472.239,2203.233,r420_05-20
43456,4475887.433,338461.248,2202.973,r420_05-20
43455,4475892.017,338445.698,2203.446,r420_05-20
43454,4475897.674,338429.106,2203.131,r420_05-20
43453,4475899.512,338416.319,2204.378,r420_05-20
43452,4475901.344,338401.163,2206.147,r420_05-20
43451,4475902.911,338385.253,2207.009,r420_05-20
43450,4475904.702,338370.315,2207.435,r420_05-20
43449,4475906.699,338356.714,2207.965,r420_05-20
43448,4475907.947,338342.611,2208.081,r420_05-20
43447,4475911.112,338327.822,2208.955,r420_05-20
43446,4475914.747,338310.527,2209.224,r420_05-20
43445,4475918.06,338297.67,2209.59,r420_05-20
43444,4475921.723,338282.758,2209.709,r420_05-20
43443,4475927.062,338267.853,2210.17,r420_05-20
43442,4475931.962,338254.897,2210.258,r420_05-20
43441,4475937.493,338242.441,2210.651,r420_05-20
43440,4475942.844,338228.971,2210.876,r420_05-20
43439,4475948.865,338212.62,2211.219,r420_05-20
45101,4476058.937,339374.296,2181.173,r520_05-20
45102,4476067.885,339383.847,2181.033,r520_05-20
45103,4476076.219,339394.6,2181.385,r520_05-20
45104,4476087.835,339408.539,2181.629,r520_05-20
45105,4476099.184,339414.171,2181.774,r520_05-20
45106,4476112.236,339419.198,2181.686,r520_05-20
45107,4476126.042,339423.691,2181.786,r520_05-20
45108,4476140.832,339427.593,2181.307,r520_05-20
45109,4476155.231,339431.122,2181.366,r520_05-20
45110,4476170.865,339435.871,2181.959,r520_05-20
45111,4476184.729,339440.052,2182.41,r520_05-20
45112,4476198.076,339443.718,2182.264,r520_05-20
45113,4476212.143,339448.074,2181.778,r520_05-20
45114,4476226.017,339451.521,2180.995,r520_05-20
45115,4476241.262,339456.05,2180.307,r520_05-20
45116,4476255.851,339460.2,2179.97,r520_05-20
45117,4476273.9,339458.215,2179.567,r520_05-20
45118,4476289.787,339452.957,2179.591,r520_05-20
45119,4476306.626,339439.938,2179.49,r520_05-20
45120,4476312.475,339433.698,2179.226,r520_05-20
45121,4476323.389,339423.257,2178.6,r520_05-20
45122,4476335.671,339412.945,2178.295,r520_05-20
45123,4476345.985,339402.44,2178.044,r520_05-20
45124,4476359.992,339395.039,2177.744,r520_05-20
45125,4476368.124,339385.262,2177.728,r520_05-20
45126,4476381.551,339376.575,2177.144,r520_05-20
45127,4476393.746,339365.965,2176.934,r520_05-20
45128,4476405.055,339358.334,2177.735,r520_05-20
45129,4476416.904,339349.539,2177.473,r520_05-20
45130,4476429.048,339340.373,2176.946,r520_05-20
45131,4476441.65,339330.452,2176.371,r520_05-20
45132,4476453.833,339320.741,2175.883,r520_05-20
45133,4476463.377,339311.82,2175.729,r520_05-20
45134,4476475.322,339303.761,2174.814,r520_05-20
45135,4476486.598,339293.953,2174.451,r520_05-20
45136,4476499.893,339284.799,2174.747,r520_05-20
45137,4476511.628,339276.434,2175.468,r520_05-20
45138,4476524.965,339267.915,2175.828,r520_05-20
45139,4476536.742,339259.352,2175.385,r520_05-20
45140,4476550.91,339252.242,2174.009,r520_05-20
45141,4476564.065,339242.852,2174.027,r520_05-20
45142,4476575.783,339235.458,2173.928,r520_05-20
45143,4476590.504,339228.857,2173.722,r520_05-20
45144,4476606.802,339224.812,2173.383,r520_05-20
45145,4476621.063,339224.627,2173.594,r520_05-20
45146,4476634.89,339224.366,2173.339,r520_05-20
45147,4476648.659,339224.027,2173.402,r520_05-20
45148,4476662.71,339224.116,2173.488,r520_05-20
45149,4476677.693,339224.582,2173.501,r520_05-20
45150,4476693.007,339224.72,2173.468,r520_05-20
45151,4476708.672,339224.519,2173.105,r520_05-20
45152,4476723.149,339224.434,2172.474,r520_05-20
45153,4476737.956,339224.659,2172.171,r520_05-20
45154,4476753.709,339224.409,2172.186,r520_05-20
45155,4476767.646,339223.954,2171.995,r520_05-20
45156,4476783.249,339223.182,2172.198,r520_05-20
